Submodule,Test ID,Test Scenario,Pre-conditions,Test Steps,Expected Result,Actual Result,Status,Bug Description,Priority,Fix Status
Training,TRAIN-005,Verify training completion,Enrolled in training,"1. Mark training complete
2. Submit feedback",Training marked complete,,Not Started,,,
Payroll,PAY-001,Verify payroll page loads,User has payroll access,"1. Navigate to Payroll
2. Wait for load",Payroll page displays,"Page loads with 4 stats (Total Records:0/This Month:0/Processed:0/Total Payout:$0.00). Create Payroll button, search, status filter, table with Employee/Pay Period/Basic Salary/Net Salary/Status/Actions. Empty: 'No payroll records found'",Pass,,,
Payroll,PAY-002,Verify salary structure setup,Admin access,"1. Navigate to Structures
2. Create structure",Salary structure created,,Not Started,,,
Payroll,PAY-003,Verify payroll run,Employees with salary,"1. Click Run Payroll
2. Select month
3. Process",Payroll processed for all employees,,Not Started,,,
Payroll,PAY-004,Verify payslip generation,Payroll run complete,"1. Click Generate Payslips
2. Wait for generation",Payslips generated,,Not Started,,,
Payroll,PAY-005,Verify payslip download,Payslip exists,"1. Click Download PDF
2. Save file",PDF downloads correctly,,Not Started,,,
Expenses,EXP-001,Verify expenses page loads,User has expenses access,"1. Navigate to Expenses
2. Wait for load",Expense claims list displays,"Page loads with 4 stats (Total Claims:0/Pending:0/Approved:0/Paid:0). New Claim button, search, status filter, table with Claim#/Employee/Category/Amount/Date/Status/Actions. Empty: 'No expense claims found'",Pass,,,
Expenses,EXP-002,Verify create expense claim,User permissions,"1. Click New Claim
2. Fill details with receipt
3. Submit",Expense claim created,,Not Started,,,
Expenses,EXP-003,Verify expense approval,Pending claim exists,"1. Manager views claim
2. Approves claim",Claim status changes to Approved,,Not Started,,,
Expenses,EXP-004,Verify expense rejection,Pending claim exists,"1. Manager views claim
2. Rejects with reason",Claim rejected with reason,,Not Started,,,
Expenses,EXP-005,Verify expense categories,Admin access,"1. Navigate to Categories
2. Manage categories",CRUD works for categories,,Not Started,,,
Assets,ASSET-001,Verify assets page loads,User has assets access,"1. Navigate to Assets
2. Wait for load",Asset inventory displays,"Page loads with 4 stats (Total Assets:0/Available:0/Allocated:0/Maintenance:0). Add Asset button, search, status filter, table with Asset Tag/Name/Category/Serial#/Status/Allocated To/Actions. Empty: 'No assets found'",Pass,,,
Assets,ASSET-002,Verify create asset,Admin access,"1. Click Add Asset
2. Fill details
3. Submit",Asset created,,Not Started,,,
Assets,ASSET-003,Verify allocate asset,Unallocated asset exists,"1. Click Allocate
2. Select employee
3. Confirm",Asset allocated to employee,,Not Started,,,
Assets,ASSET-004,Verify return asset,Allocated asset exists,"1. Click Return
2. Note condition
3. Confirm",Asset returned and available,,Not Started,,,
Assets,ASSET-005,Verify asset categories,Admin access,"1. Navigate to Categories
2. Manage categories",CRUD works for categories,,Not Started,,,
Disciplinary,DISC-001,Verify disciplinary page loads,User has disciplinary access,"1. Navigate to Disciplinary
2. Wait for load",Cases list displays,Redirect route added. /hrm/disciplinary now redirects to /hrm/disciplinary/cases correctly. Page loads with stats and table.,Pass,Fixed by adding redirect route from /disciplinary to /disciplinary/cases in web.php,,Fixed
Disciplinary,DISC-002,Verify create case,Admin access,"1. Click New Case
2. Fill details
3. Submit",Case created,,Not Started,,,
Disciplinary,DISC-003,Verify case workflow,Case exists,"1. Start investigation
2. Take action
3. Close case",Workflow stages work correctly,,Not Started,,,
Disciplinary,DISC-004,Verify warnings management,Admin access,"1. Navigate to Warnings
2. Issue warning",Warning issued to employee,,Not Started,,,
Disciplinary,DISC-005,Verify action types,Admin access,"1. Navigate to Action Types
2. Manage types",CRUD works for action types,,Not Started,,,
Overtime,OT-001,Verify overtime page loads,User has overtime access,"1. Navigate to Overtime
2. Wait for load",Overtime requests list displays,"Page loads with 5 stats (This Month:0/Pending Approval:0/Approved:0/Total Hours:0/Uncompensated:0). Request Overtime button, search, Status/Type filters, table with Employee/Date/Type/Hours/Reason/Status/Actions. Empty: 'No overtime records found'",Pass,,,
Overtime,OT-002,Verify create overtime request,User permissions,"1. Click Request OT
2. Fill hours and reason
3. Submit",OT request created,,Not Started,,,
Overtime,OT-003,Verify overtime approval,Pending OT exists,"1. Manager views request
2. Approves OT",OT approved,,Not Started,,,
Overtime,OT-004,Verify bulk approval,Multiple pending OT,"1. Select multiple
2. Click Bulk Approve",All selected approved,,Not Started,,,
Overtime,OT-005,Verify compensation tracking,Approved OT exists,"1. Mark as compensated
2. Confirm",OT marked as compensated,,Not Started,,,
Grievances,GRIEV-001,Verify grievances page loads,User has grievances access,"1. Navigate to Grievances
2. Wait for load",Grievances list displays,"Page loads with 6 stats (Total Grievances:0/Open Cases:0/Critical:0/High Severity:0/Resolved This Month:0/Avg Resolution Days:0). File Grievance button, search, Status/Severity filters, table with Case#/Subject/Filed By/Type/Severity/Status/Actions. Empty: 'No grievances found'",Pass,,,
Grievances,GRIEV-002,Verify submit grievance,Employee access,"1. Click Submit Grievance
2. Fill details
3. Submit",Grievance submitted,,Not Started,,,
Grievances,GRIEV-003,Verify assign handler,Admin access,"1. Open grievance
2. Assign to HR
3. Save",Handler assigned,,Not Started,,,
Grievances,GRIEV-004,Verify resolution workflow,Assigned grievance,"1. Investigate
2. Resolve
3. Close",Workflow completes,,Not Started,,,
Grievances,GRIEV-005,Verify grievance categories,Admin access,"1. Manage categories
2. Add/Edit/Delete",CRUD works,,Not Started,,,
Succession Planning,SUCC-001,Verify succession page loads,User has succession access,"1. Navigate to Succession
2. Wait for load",Succession plans list displays,"Page loads with 6 stats (Total Plans:0/Active:0/Critical Positions:0/High Risk:0/Ready Now:0/No Successor:0). Add Plan button, search, Priority/Status/Department filters, table with Position/Department/Priority/Risk/Candidates/Status/Actions. Empty: 'No succession plans found'",Pass,,,
Succession Planning,SUCC-002,Verify create plan,Admin access,"1. Click Add Plan
2. Select position
3. Add candidates",Plan created with candidates,,Not Started,,,
Succession Planning,SUCC-003,Verify candidate management,Plan exists,"1. Add/Edit/Remove candidates
2. Set readiness level",Candidates managed correctly,,Not Started,,,
Succession Planning,SUCC-004,Verify pipeline report,Plans exist,"1. View Pipeline Report
2. Check metrics",Report displays correctly,,Not Started,,,
AI Analytics,AI-001,Verify AI analytics dashboard,User has AI access,"1. Navigate to AI Analytics
2. Wait for load",AI dashboard displays,Redirect route added. /hrm/hr-analytics now redirects to /hrm/analytics correctly. Page loads with analytics dashboard.,Pass,Fixed by adding redirect route from /hr-analytics to /analytics in web.php,,Fixed
AI Analytics,AI-002,Verify attrition predictions,Prediction data exists,"1. View Attrition tab
2. Check risk scores",Risk predictions display,,Not Started,,,
AI Analytics,AI-003,Verify burnout analysis,Analysis data exists,"1. View Burnout tab
2. Check risk factors",Burnout risks display,,Not Started,,,
AI Analytics,AI-004,Verify run predictions,Admin access,"1. Click Run Predictions
2. Wait for completion",Predictions updated,,Not Started,,,
Exit Interviews,EXIT-001,Verify exit interviews page,User has exit access,"1. Navigate to Exit Interviews
2. Wait for load",Exit interviews list displays,"Page loads with 5 stats (Total Interviews:0/Scheduled:0/Completed:0/Avg Satisfaction:0/Would Recommend:0%). Schedule Interview button, search, Status/Reason filters, table with Employee/Interview Date/Reason/Satisfaction/Status/Actions. Empty: 'No exit interviews found'",Pass,,,
Exit Interviews,EXIT-002,Verify create interview,Exiting employee exists,"1. Click New Interview
2. Fill responses
3. Submit",Interview recorded,,Not Started,,,
Exit Interviews,EXIT-003,Verify analytics view,Interviews exist,"1. View Analytics tab
2. Check trends",Analytics display correctly,,Not Started,,,
Pulse Surveys,PULSE-001,Verify surveys page loads,User has surveys access,"1. Navigate to Pulse Surveys
2. Wait for load",Surveys list displays,"Page loads with 5 stats (Total Surveys:0/Active:0/Responses This Month:0/Avg Completion Rate:0%/Positive Sentiment:0%). Create Survey button, search, status filter, table with Survey/Frequency/Responses/Completion/Status/Actions. Empty: 'No pulse surveys found'",Pass,,,
Pulse Surveys,PULSE-002,Verify create survey,Admin access,"1. Click Create Survey
2. Add questions
3. Save",Survey created,,Not Started,,,
Pulse Surveys,PULSE-003,Verify activate survey,Draft survey exists,"1. Click Activate
2. Select audience
3. Confirm",Survey activated,,Not Started,,,
Pulse Surveys,PULSE-004,Verify respond to survey,Active survey for user,"1. Open survey
2. Answer questions
3. Submit",Response recorded,,Not Started,,,
Career Paths,CAREER-001,Verify career paths page,User has career access,"1. Navigate to Career Paths
2. Wait for load",Career paths list displays,"Page loads with 4 stats (Career Paths:0/Milestones:0/Employees on Path:0/Completed:0). Add Career Path button, search, Department filter, table with Career Path/Department/Type/Milestones/Employees/Duration/Actions. Empty: 'No career paths found'",Pass,,,
Career Paths,CAREER-002,Verify create path,Admin access,"1. Click Add Path
2. Define milestones
3. Save",Career path created,,Not Started,,,
Career Paths,CAREER-003,Verify assign employee,Path exists,"1. Open path
2. Assign employee
3. Confirm",Employee assigned to path,,Not Started,,,
Career Paths,CAREER-004,Verify progression tracking,Employee on path,"1. Update milestone completion
2. Save",Progress tracked,,Not Started,,,
360 Feedback,FB360-001,Verify 360 feedback page,User has feedback access,"1. Navigate to 360 Feedback
2. Wait for load",Feedback cycles list displays,"Page loads with 5 stats (Total Reviews:0/Active:0/Completed:0/Pending Responses:0/Avg Score:0.0). New 360° Review button, search, status filter, table with Employee/Review Title/Status/Responses/Score/Period/Actions. Empty: 'No 360° feedback reviews found'",Pass,,,
360 Feedback,FB360-002,Verify create feedback cycle,Admin access,"1. Click Create Cycle
2. Select subject
3. Add reviewers",Cycle created,,Not Started,,,
360 Feedback,FB360-003,Verify launch cycle,Draft cycle exists,"1. Click Launch
2. Confirm","Cycle launched, reviewers notified",,Not Started,,,
360 Feedback,FB360-004,Verify submit feedback,Reviewer for active cycle,"1. Open pending feedback
2. Complete ratings
3. Submit",Feedback submitted,,Not Started,,,
Compensation Planning,COMP-001,Verify compensation page,User has comp access,"1. Navigate to Compensation
2. Wait for load",Compensation cycles list displays,Redirect route added. /hrm/compensation now redirects to /hrm/compensation-planning correctly. Page loads with cycles list.,Pass,Fixed by adding redirect route from /compensation to /compensation-planning in web.php,,Fixed
Compensation Planning,COMP-002,Verify create cycle,Admin access,"1. Click New Cycle
2. Set budget
3. Save",Cycle created,,Not Started,,,
Compensation Planning,COMP-003,Verify add adjustments,Active cycle exists,"1. Add salary adjustments
2. Calculate impact
3. Save",Adjustments added,,Not Started,,,
Compensation Planning,COMP-004,Verify approve adjustments,Pending adjustments exist,"1. Review adjustments
2. Approve
3. Confirm",Adjustments approved,,Not Started,,,
Workforce Planning,WF-001,Verify workforce page,User has WF access,"1. Navigate to Workforce Planning
2. Wait for load",Workforce plans list displays,"Page loads with 5 stats (Workforce Plans:0/Active Plans:0/Current Headcount:0/Planned Headcount:0/Open Positions:0). New Workforce Plan button, search, Department/Status filters, 3 tabs (Workforce Plans/Planned Positions/Forecast), table with Plan Name/Department/Period/Headcount/Positions/Status/Actions. Empty: 'No workforce plans found'",Pass,,,
Workforce Planning,WF-002,Verify create plan,Admin access,"1. Click New Plan
2. Define headcount
3. Save",Plan created,,Not Started,,,
Workforce Planning,WF-003,Verify forecast view,Plan data exists,"1. View Forecast tab
2. Check projections",Forecast displays correctly,,Not Started,,,
Workforce Planning,WF-004,Verify position management,Plan exists,"1. Add/Edit positions
2. Save",Positions managed,,Not Started,,,
Onboarding,ONB-001,Verify onboarding page,User has onboarding access,"1. Navigate to Onboarding
2. Wait for load",Onboarding list displays,"Page loads with 4 stats (Total:0/Pending:0/In Progress:0/Completed:0). New Onboarding button, search, Status filter, table with Employee/Start Date/Expected Completion/Status/Actions. Empty: 'No onboarding processes found'",Pass,,,
Onboarding,ONB-002,Verify wizard flow,New employee exists,"1. Start onboarding wizard
2. Complete each step
3. Finish",Wizard completes successfully,,Not Started,,,
Onboarding,ONB-003,Verify checklist management,Admin access,"1. View checklists
2. Add/Edit items",Checklists managed,,Not Started,,,
Workplace Safety,SAFE-001,Verify safety page,User has safety access,"1. Navigate to Safety
2. Wait for load",Safety dashboard displays,"Page loads with Workplace Safety heading, 4 stats cards (Total Incidents:0/Open Cases:0/Days Without Incident:365/Pending Inspections:0), Incidents/Inspections/Safety Training tabs, search and filters. Fixed with SafetyInspectionPolicy + migration adding deleted_at column.",Pass,,,Fixed - Complete
Workplace Safety,SAFE-002,Verify report incident,User permissions,"1. Click Report Incident
2. Fill details
3. Submit",Incident reported,"Modal opens with comprehensive form: Incident Details (Title*, Type*, Location*, Date*, Time, Description), Severity & Status (Severity, Status, OSHA checkbox), People Involved (Reporter, Assigned To, Injured Employees list, Witnesses), Investigation (Root Cause, Corrective Actions, Preventive Measures)",Pass,,,
Workplace Safety,SAFE-003,Verify incident resolution,Open incident exists,"1. Investigate incident
2. Add resolution
3. Close",Incident resolved,,Not Started,,,Holidays,HOL-001,Verify holidays page loads,User has leave management access,"1. Navigate to /hrm/holidays
2. Wait for load","Holiday page displays with table, stats, Add Holiday button","Page loads with 4 stats (Total Holidays:4/Upcoming:3/This Month:0/Working Days:361). Add Holiday button, search, Year filter, table with Holiday/Date/Duration/Type/Status/Actions",Pass,,,
Holidays,HOL-002,Verify create holiday,Admin access,"1. Click Add Holiday
2. Fill title/type/dates
3. Save","Holiday created, appears in list",Created 'Test UAT Holiday' for 2026-01-15 as National Holiday. Success toast: 'Holiday created successfully'. Stats updated dynamically.,Pass,Bug #13: Fixed date field mapping (from_date→date) in Holidays.jsx,High,Fixed
Holidays,HOL-003,Verify edit holiday,Holiday exists,"1. Click edit on holiday
2. Modify fields
3. Save",Holiday updated,Edited 'Test UAT Holiday' to 'Test UAT Holiday - UPDATED'. Success toast: 'Holiday updated successfully'. Name updated in table.,Pass,,,
Holidays,HOL-004,Verify delete holiday,Holiday exists,"1. Click delete on holiday
2. Confirm deletion",Holiday removed from list,Deleted 'Test UAT Holiday - UPDATED'. Confirmation modal appeared. Success toast: 'Holiday deleted successfully'. Stats: 4 Total/3 Upcoming/1 This Month/361 Working Days.,Pass,"Bug #14: Fixed delete endpoint (removed 'route' validation, changed query→input). Bug #15: Fixed stats not updating (added dynamicStats). Bug #16: Fixed upcoming count (removed 90-day limit)",Critical,Fixed
Holidays,HOL-005,Verify holiday type filter,Multiple holiday types exist,"1. Filter by holiday type
2. Check results",Only matching holidays shown,,Not Started,,,
Shifts,SHIFT-001,Verify shifts page loads,User has attendance access,"1. Navigate to /hrm/shifts
2. Wait for load",Shifts page displays with scheduling interface,"Page loads showing Attendance Management title with 8 stats, search, employee list. Subtitle: Manage employee attendance and time tracking",Pass,,,
Shifts,SHIFT-002,Verify create shift schedule,Admin access,"1. Click Add Shift
2. Define shift times
3. Assign employees
4. Save",Shift schedule created,,Not Started,,,
Shifts,SHIFT-003,Verify edit shift,Shift exists,"1. Click edit on shift
2. Modify fields
3. Save",Shift updated,,Not Started,,,
Shifts,SHIFT-004,Verify delete shift,Shift exists,"1. Click delete on shift
2. Confirm deletion",Shift removed,,Not Started,,,
Offboarding,OFFB-001,Verify offboarding page loads,User has offboarding access,"1. Navigate to /hrm/offboarding
2. Wait for load","Offboarding list displays with stats, New Offboarding button","Page loads with 4 stats (Total:0/In Progress:0/Completed:0/Pending Exit:0). New Offboarding button, search, Status filter, tabs: Offboarding Processes/Exit Checklist. Empty: 'No offboarding processes found'",Pass,,,
Offboarding,OFFB-002,Verify create offboarding,Exiting employee exists,"1. Click New Offboarding
2. Select employee
3. Set exit date
4. Save",Offboarding process created,,Not Started,,,
Offboarding,OFFB-003,Verify offboarding checklist,Offboarding exists,"1. View offboarding details
2. Check/uncheck items
3. Save progress",Checklist items tracked,,Not Started,,,
Offboarding,OFFB-004,Verify complete offboarding,All checklist complete,"1. Mark offboarding complete
2. Confirm","Employee offboarded, status updated",,Not Started,,,